운영노선명,역명,교통약자도우미 전화번호,en_name,f_code
4,성신여대입구(돈암),02-6110-4181,,
4,한성대입구(삼선교),02-6110-4191,,
4,혜화,02-6110-4201,,
4,동대문,02-6110-4211,,
4,동대문사문화공원(DDP),02-6110-4221,,
4,충무로,02-6110-4231,,
4,명동,02-6110-4241,,
4,회현(남대문시장),02-6110-4251,,
4,서울,02-6110-4261,,
4,숙대입구(갈월),02-6110-4271,,
4,삼각지,02-6110-4281,,
4,신용산,02-6110-4291,,
4,이촌(국립중앙박물관),02-6110-4301,,
4,동작(현충원),02-6110-4311,,
4,총신대입구(이수),02-6110-4321,,
4,사당,02-6110-4331,,
4,남태령,02-6110-4341,,
5,방화,02-6311-5101,,
5,개화산,02-6311-5111,,
5,김포공항,02-6311-5121,,
5,송정,02-6311-5131,,
5,마곡,02-6311-5141,,
5,발산,02-6311-5151,,
5,우장산,02-6311-5161,,
5,화곡,02-6311-5171,,
5,까치산,02-6311-5181,,
5,신정(은행정),02-6311-5191,,
5,목동,02-6311-5201,,
5,오목교(목동운동장앞),02-6311-5211,,
5,양평,02-6311-5221,,
5,영등포구청,02-6311-5231,,
5,영등포시장,02-6311-5241,,
5,신길,02-6311-5251,,
5,여의도,02-6311-5261,,
5,여의나루,02-6311-5271,,
5,마포,02-6311-5281,,
5,공덕,02-6311-5291,,
5,애오개,02-6311-5301,,
5,충정로(경기대입구),02-6311-5311,,
5,서대문,02-6311-5321,,
5,광화문(세종문화회관),02-6311-5331,,
5,종로3가(탑골공원),02-6311-5341,,
5,을지로4가,02-6311-5351,,
5,동대문사문화공원(DDP),02-6311-5361,,
5,청구,02-6311-5371,,
5,신금호,02-6311-5381,,
5,행당,02-6311-5391,,
5,왕십리(성동구청),02-6311-5401,,
5,마장,02-6311-5411,,
5,답십리,02-6311-5421,,
5,장한평,02-6311-5431,,
5,군자(능동),02-6311-5441,,
5,아차산(어린이대공원후문),02-6311-5451,Children`s  Grand Park,726
5,광나루(장신대),02-6311-5461,,
5,천호(풍납토성),02-6311-5471,,
5,강동,02-6311-5481,,
5,길동,02-6311-5491,,
5,굽은다리(강동구민회관앞),02-6311-5501,,
5,명일,02-6311-5511,,
5,고덕,02-6311-5521,,
5,상일동,02-6311-5531,,
5,둔촌동,02-6311-5541,,
5,올림픽공원(한국체대),02-6311-5551,,
5,방이,02-6311-5561,,
5,오금,02-6110-3521,,
5,개롱,02-6311-5581,,
5,거여,02-6311-5591,,
5,마천,02-6311-5601,,
5,강일,02-6311-5611,,
5,미사,02-6311-5621,,
5,하남풍산,02-6311-5631,,
5,하남시청(덕풍?신장),02-6311-5641,,
5,하남검단산,02-6311-5651,,
6,응암,02-6311-6101,,
6,촌,02-6311-6111,,
6,불광,02-6311-6121,,
6,독바위,02-6311-6131,,
6,연신내,02-6110-3211,,
6,구산,02-6311-6151,,
6,새절(신사),02-6311-6161,,
6,증산(명지대앞),02-6311-6171,,
6,디지털미디어시티,02-6311-6181,,
6,월드컵경기장(성산),02-6311-6191,,
6,마포구청,02-6311-6201,,
6,망원,02-6311-6211,,
6,합정,02-6311-6221,,
6,상수,02-6311-6231,,
6,광흥창(서강),02-6311-6241,,
6,대흥(서강대앞),02-6311-6251,,
6,공덕,02-6311-5291,,
6,효창공원앞,02-6311-6271,,
6,삼각지,02-6311-6281,,
6,녹사평(용산구청),02-6311-6291,,
6,이태원,02-6311-6301,,
6,한강진,02-6311-6311,,
6,버티고개,02-6311-6321,,
6,약수,02-6311-6331,,
6,청구,02-6311-5371,,
6,신당,02-6311-6351,,
6,동묘앞,02-6311-6361,,
6,창신,02-6311-6371,,
6,보문,02-6311-6381,,
6,안암(고대병원앞),02-6311-6391,,
6,고려대(종암),02-6311-6401,,
6,월곡(동덕여대),02-6311-6411,,
6,상월곡(한국과학기술연구원),02-6311-6421,,
6,돌곶이,02-6311-6431,,
6,석계,02-6311-6441,,
6,태릉입구,02-6311-7171,,
6,화랑대(서울여대입구),02-6311-6461,,
6,봉화산(서울의료원),02-6311-6471,,
6,신내,02-6311-6481,,
7,장암,02-6311-7091,,
7,도봉산,02-6311-7101,,
7,수락산,02-6311-7111,,
7,마들,02-6311-7121,,
7,노원,02-6311-7131,,
7,중계,02-6311-7141,,
7,하계,02-6311-7151,,
7,공릉(서울과학기술대),02-6311-7161,,
7,태릉입구,02-6311-7171,,
7,먹골,02-6311-7181,,
7,중화,02-6311-7191,,
7,상봉(시외버스터미널),02-6311-7201,,
7,면목,02-6311-7211,,
7,사가정,02-6311-7221,,
7,용마산(용마폭포공원),02-6311-7231,,
7,중곡,02-6311-7241,,
7,군자(능동),02-6311-5441,,
7,어린이대공원(세종대),02-6311-7261,,
7,건대입구,02-6311-7271,Konkuk Univ.,727
7,뚝섬유원지,02-6311-7281,,
7,청담,02-6311-7291,,
7,강남구청,02-6311-7301,,
7,학동,02-6311-7311,,
7,논현,02-6311-7321,,
7,반포,02-6311-7331,,
7,고속터미널,02-6311-7341,,
7,내방,02-6311-7351,,
7,이수,02-6311-7361,,
7,남성,02-6311-7371,,
7,숭실대입구(살피재),02-6311-7381,,
7,상도,02-6311-7391,,
7,장승배기,02-6311-7401,,
7,신대방삼거리,02-6311-7411,,
7,보라매,02-6311-7421,,
7,신풍,02-6311-7431,,
7,대림(구로구청),02-6311-7441,,
7,남구로,02-6311-7451,,
7,가산디지털단지,02-6311-7461,,
7,철산,02-6311-7471,,
7,광명사거리,02-6311-7481,,
7,천왕,02-6311-7491,,
7,온수(성공회대입구),02-6311-7501,,
8,암사,02-6311-8101,,
8,천호(풍납토성),02-6311-5471,,
8,강동구청,02-6311-8121,,
8,몽촌토성(평화의문),02-6311-8131,,
8,잠실(송파구청),02-6311-8141,,
8,석촌,02-6311-8151,,
8,송파,02-6311-8161,,
8,가락시장,02-6311-8171,,
8,문정,02-6311-8181,,
8,장지,02-6311-8191,,
8,복정,02-6311-8201,,
8,남위례,02-6311-8211,,
8,산성,02-6311-8221,,
8,남한산성입구(성남법원·검찰청),02-6311-8231,,
8,단대오거리,02-6311-8241,,
8,신흥,02-6311-8251,,
8,수진,02-6311-8261,,
8,모란,02-6311-8271,,
