"고유번호","노선","노선명칭","역명칭","역 이미지","운행방향1","운행방향2","엘레베이터 동영상","엘리베이터 자막","지아철 팝업 이미지","사용여부","편의시설 아이콘 이미지 목록","출구정보","전화번호안내","코스1 첫차","코스1 막차","코스2 첫차","코스2 막차"
"129","2","2호선","구의","<img src='https://wis.eseoul.go.kr/images/disable/subway/2_129_M.jpg' alt='구의 이미지' NAME='stationImg' ID='stationImg'/>","시청","시청","http://wis.seoul.go.kr/rest/file/thumbnail/7fqahjzrwa4tvccwddzttboqsp3vlib8/1","승강기 위치는 2번출구 쪽에 있습니다.      3층 승강장으로 올라가십시오.      승강기를 이용하여 2층 대합실로 올라가십시오.      정면으로 이동하신 후 승강기를 이용하여 3층 승강장으로 올라가십시오.","<img src='https://wis.eseoul.go.kr/images/disable/subway/20130228172311.jpg' alt='구의 이미지' NAME='stationBigImg' ID='stationBigImg'/>","Y","<img src='http://wis.seoul.go.kr/images/disable/subway/20081021143442.jpg' alt='에스켈레이터 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143830.jpg' alt='엘리베이터 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143901.jpg' alt='화장실 이미지' />","||1@광진구청 광진경찰서 동국대사범대학부속여중.고교 건대부속중.고교 국민건강보험 광진지사||||2@구의1동||||3@서울동부지방법원 서울동부지방검찰청 대한법률구조공단서울동부지사 광진우체국 서울무선전신국 우정사업조달사무소 동서울우편집중국(후문)||||4@잠실대교 방면 자양1동 우정사업정보센터 동서울우편집중국(정문) 자양1동주민센터 자양시장 한국보건의료인국가시험원||","긴급전화(역무실) : 02-6110-2131","구의 : 05시34분","구의 : 23시21분","구의 : 05시43분","구의 : 23시26분"
"131","3","3호선","대화","<img src='https://wis.eseoul.go.kr/images/disable/subway/' alt='대화 이미지' NAME='stationImg' ID='stationImg'/>","대화","수서","","","<img src='https://wis.eseoul.go.kr/images/disable/subway/' alt='대화 이미지' NAME='stationBigImg' ID='stationBigImg'/>","Y","","||1@일산백병원장촌초등교||||2@장성마을대화중교||||3@종합운동장||||4@농수산물센타예비군훈련장||||5@성저마을대진고교||||6@전화국우체국주엽고||","긴급전화(역무실) : 031-917-7799","","","대화 : 05시14분","대화 : 24시36분"
"179","4","4호선","길음","<img src='https://wis.eseoul.go.kr/images/disable/subway/4_179_M.jpg' alt='길음 이미지' NAME='stationImg' ID='stationImg'/>","당고개","오이도","http://wis.seoul.go.kr/rest/file/thumbnail/wd5a4z0i2gph41fto5wjw6xs8hqmtfjs/1","승강기 위치는 5번 출구 맞은편에 있습니다      승강기를 이용하여 지하 1층 대합실로 내려가십시오.      좌측 방향으로 이동하신 후      승강기를 이용하여 승강장으로 내려가십시오","<img src='https://wis.eseoul.go.kr/images/disable/subway/20130228180218.jpg' alt='길음 이미지' NAME='stationBigImg' ID='stationBigImg'/>","Y","<img src='http://wis.seoul.go.kr/images/disable/subway/20081021143830.jpg' alt='엘리베이터 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143901.jpg' alt='화장실 이미지' />","||1@송중동주민센터 미아4동파출소 송중초등학교 성바오로딸수도회 솔샘지구대||||2@창문여중.고교 방천시장 월곡종합사회복지관(성북외국인근로자센터)||||3@서울북공고교 하월곡시장||||4@숭인치안센터 길음2동 숭인파출소||||5@송천동 영훈초등학교 숭인시장 기업은행||||6@도봉세무서 도봉119안전센터 송천동우체국 영훈초.영훈국제중.영훈고등학교||","긴급전화(역무실) : 02-6110-4171","길음 : 05시51분","길음 : 24시44분","길음 : 05시32분","길음 : 23시25분"
"186","4","4호선","명동","<img src='https://wis.eseoul.go.kr/images/disable/subway/4_186_M.jpg' alt='명동 이미지' NAME='stationImg' ID='stationImg'/>","당고개","오이도","http://wis.seoul.go.kr/rest/file/thumbnail/20v2ck01rbd96y80ubwr8mdksx116lnc/1","리프트 위치는 1번 출구쪽에 있습니다      리프트를 이용하여 지하 1층 대합실로 내려가십시오.      정면에 있는 개찰구를 통과하신 후      리프트를 이용하여 지하 4층 승강장으로 내려가십시오.","<img src='https://wis.eseoul.go.kr/images/disable/subway/20130228180442.jpg' alt='명동 이미지' NAME='stationBigImg' ID='stationBigImg'/>","Y","<img src='http://wis.seoul.go.kr/images/disable/subway/20081021143830.jpg' alt='엘리베이터 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143901.jpg' alt='화장실 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143945.jpg' alt='휠체어리프트 이미지' />","||1@서울산업통상진흥원 서울애니메이션센터 서울특별시 건강가정지원센터 서울특별시 소방재난본부 서울종합방재센터 서울특별시자원봉사센터 서울시티투어버스타는 곳 서울유스호스텔 문학의집 서울 드라마센터 대한적십자사 남산예술센터 사회복지법인 남산원 KECPO경인건설처 리라아트고등학교 리라초등학교 교통방송 숭의여자대학 남산창작센터||||2@남산초등학교||||3@남산동 정화예술대학 숭의여자대학 숭의초등학교 중국영사관 남산케이블카||||4@회현동 남산경사엘리베이터 기업은행||||5@서울중앙우체국 국민건강보험공단 중구지사||||6@명동 유네스코회관(유네스코한국위원회) 서울문화교류 관광정보센터||||7@명동||||8@명동 명동헌혈의집||||9@계성여고/계성초등학교 명동성당||||10@남대문세무서 중부경찰서 서울고용노동청 서울고용센터||","긴급전화(역무실) : 02-6110-4241","명동 : 05시36분","명동 : 24시29분","명동 : 05시47분","명동 : 23시40분"
"198","4","4호선","경마공원","<img src='https://wis.eseoul.go.kr/images/disable/subway/' alt='경마공원 이미지' NAME='stationImg' ID='stationImg'/>","당고개","오이도","","","<img src='https://wis.eseoul.go.kr/images/disable/subway/' alt='경마공원 이미지' NAME='stationBigImg' ID='stationBigImg'/>","Y","","||1@경마장||||2@경마장||||3@꽃단지||||4@꽃단지||","긴급전화(역무실) : 02-502-7892","경마공원 : 05시36분","경마공원 : 24시53분","경마공원 : 05시57분","경마공원 : 24시38분"
"202","4","4호선","인덕원","<img src='https://wis.eseoul.go.kr/images/disable/subway/' alt='인덕원 이미지' NAME='stationImg' ID='stationImg'/>","당고개","오이도","","","<img src='https://wis.eseoul.go.kr/images/disable/subway/' alt='인덕원 이미지' NAME='stationBigImg' ID='stationBigImg'/>","Y","","||1@인덕원환승주차장||||2@삼호APT청계산방면서울구치소삼성아파트농어촌진흥공사||||3@관양파출소상업은행||||4@누가병원수원방면||||5@중소기업은행||||6@영산강민물장어||||7@국민은행관양여중전자랜드신라부페||||8@안양방면관양1동||","긴급전화(역무실) : 031-422-7788","인덕원 : 05시26분","인덕원 : 24시43분","인덕원 : 06시07분","인덕원 : 24시48분"
"207","4","4호선","대야미","<img src='https://wis.eseoul.go.kr/images/disable/subway/' alt='대야미 이미지' NAME='stationImg' ID='stationImg'/>","당고개","오이도","","","<img src='https://wis.eseoul.go.kr/images/disable/subway/' alt='대야미 이미지' NAME='stationBigImg' ID='stationBigImg'/>","Y","","||1@대아동사무소둔대초등교||","긴급전화(역무실) : 031-437-7788","대야미 : 05시25분","대야미 : 24시47분","대야미 : 05시49분","대야미 : 24시43분"
"211","4","4호선","중앙","<img src='https://wis.eseoul.go.kr/images/disable/subway/' alt='중앙 이미지' NAME='stationImg' ID='stationImg'/>","당고개","오이도","","","<img src='https://wis.eseoul.go.kr/images/disable/subway/' alt='중앙 이미지' NAME='stationBigImg' ID='stationBigImg'/>","Y","","||1@한일은행오성예식장||","긴급전화(역무실) : 031-485-7788","중앙 : 05시15분","중앙 : 24시36분","중앙 : 05시59분","중앙 : 24시53분"
"212","4","4호선","고잔","<img src='https://wis.eseoul.go.kr/images/disable/subway/' alt='고잔 이미지' NAME='stationImg' ID='stationImg'/>","당고개","오이도","","","<img src='https://wis.eseoul.go.kr/images/disable/subway/' alt='고잔 이미지' NAME='stationBigImg' ID='stationBigImg'/>","Y","","||1@공단역고잔1동사무소고대부속병원관공서및금융기관||","긴급전화(역무실) : 031-482-7788","고잔 : 05시13분","고잔 : 24시34분","고잔 : 06시01분","고잔 : 24시55분"
"221","5","5호선","송정","<img src='https://wis.eseoul.go.kr/images/disable/subway/5_221_M.jpg' alt='송정 이미지' NAME='stationImg' ID='stationImg'/>","방화","상일도마천","","","<img src='https://wis.eseoul.go.kr/images/disable/subway/' alt='송정 이미지' NAME='stationBigImg' ID='stationBigImg'/>","Y","<img src='http://wis.seoul.go.kr/images/disable/subway/20081021143442.jpg' alt='에스켈레이터 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143830.jpg' alt='엘리베이터 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143901.jpg' alt='화장실 이미지' />","||1@송정초등교 공항파출소 서울횟집 ||||2@공항우체국 공항전화국 공항중학교 공항초등교 ||||3@공항로 ||||4@공항동 공항동사무소 남부순환도로 ||","긴급전화(역무실) : 02-6311-5131","송정 : 05시53분","송정 : 24시53분","송정 : 05시36분","송정 : 24시43분"
"76","1","1호선","망월산","<img src='https://wis.eseoul.go.kr/images/disable/subway/' alt='망월산 이미지' NAME='stationImg' ID='stationImg'/>","소요산","인천","","","<img src='https://wis.eseoul.go.kr/images/disable/subway/' alt='망월산 이미지' NAME='stationBigImg' ID='stationBigImg'/>","Y","","||1@호원동신흥전문대||","긴급전화(역무실) : 031-872-7744","망월사 : 05시16분","망월사 : 24시22분","망월사 : 05시05분","망월사 : 23시42분"
"77","1","1호선","회룡","<img src='https://wis.eseoul.go.kr/images/disable/subway/' alt='회룡 이미지' NAME='stationImg' ID='stationImg'/>","소요산","인천","","","<img src='https://wis.eseoul.go.kr/images/disable/subway/' alt='회룡 이미지' NAME='stationBigImg' ID='stationBigImg'/>","Y","","||1@범골회룡사방면||||2@장암우성쌍용APT방면||","긴급전화(역무실) : ","회룡 : 05시18분","회룡 : 24시24분","회룡 : 05시03분","회룡 : 23시40분"
"78","1","1호선","의정부","<img src='https://wis.eseoul.go.kr/images/disable/subway/' alt='의정부 이미지' NAME='stationImg' ID='stationImg'/>","소요산","인천","","","<img src='https://wis.eseoul.go.kr/images/disable/subway/' alt='의정부 이미지' NAME='stationBigImg' ID='stationBigImg'/>","Y","","||1@우체국병무청세무서방면||||2@시청경찰서방면||","","의정부 : 05시21분","의정부 : 24시11분","의정부 : 05시00분","의정부 : 23시37분"
"86","2","2호선","한양대","<img src='https://wis.eseoul.go.kr/images/disable/subway/2_86_M.jpg' alt='한양대 이미지' NAME='stationImg' ID='stationImg'/>","시청","시청","http://wis.seoul.go.kr/rest/file/thumbnail/50trwu89o2ul4u44x01eite76yjwfr25/1","승강기 위치는 2번출구 쪽에 있습니다.      승강기를 이용하여 지하1층 대합실로 내려가십시오.      우측 방향으로 이동하신 후      좌 우측 승강기를 이용하여 승강장으로 내려가십시오","<img src='https://wis.eseoul.go.kr/images/disable/subway/20130228173645.jpg' alt='한양대 이미지' NAME='stationBigImg' ID='stationBigImg'/>","Y","<img src='http://wis.seoul.go.kr/images/disable/subway/20081021143830.jpg' alt='엘리베이터 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143901.jpg' alt='화장실 이미지' />","||1@한양대학교 정문 사근동 사근동 주민센터 한양지구대 한양시장||||2@한양대학교 본관||||3@뚝섬방면 성동교 한양여자대학 한양대체육관 한양초등학교||||4@덕수고등학교 행당중학교||","긴급전화(역무실) : 02-6110-2091","한양대 : 05시44분","한양대 : 23시29분","한양대 : 05시33분","한양대 : 23시20분"
"94","2","2호선","시청","<img src='https://wis.eseoul.go.kr/images/disable/subway/2_94_M.jpg' alt='시청 이미지' NAME='stationImg' ID='stationImg'/>","시청","시청","http://wis.seoul.go.kr/rest/file/thumbnail/z2j9s74vjoe4velz9foq5fs954eqp1b2/1","승강기 위치는 9번출구 쪽에 있습니다.      승강기를 이용하여 지하1층 대합실로 내려가십시오.      정면으로 이동하신 후 좌측 개찰구를 통과하십시오.      승강기를 이용하여 승강장으로 내려가십시오","<img src='https://wis.eseoul.go.kr/images/disable/subway/20130228172838.jpg' alt='시청 이미지' NAME='stationBigImg' ID='stationBigImg'/>","Y","<img src='http://wis.seoul.go.kr/images/disable/subway/20081021143442.jpg' alt='에스켈레이터 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143830.jpg' alt='엘리베이터 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143901.jpg' alt='화장실 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143945.jpg' alt='휠체어리프트 이미지' />","||8@남대문(숭례문) 한국산업안전공단||||9@IBK 기업은행 서소문지점||||10@서울특별시청 서소문별관 류관순기념관 국민권익위원회 상업등기소 중부등기소 국민건강보험공단 러시아대사관 서울시립미술관 창덕여자중학교 이화여자고등학교||||11@서울특별시청 서소문별관 상업등기소 중부등기소 서소문파출소||||12@서울특별시청(다산플라자) 서울특별시의회별관 덕수궁 세종문화회관 정동극장 캐나다대사관 서울지방국세청 남대문별관||","긴급전화(역무실) : 02-6110-2011","시청 : 05시39분","시청 : 23시29분","시청 : 05시32분","시청 : 23시34분"
"98","2","2호선","신촌","<img src='https://wis.eseoul.go.kr/images/disable/subway/2_98_M.jpg' alt='신촌 이미지' NAME='stationImg' ID='stationImg'/>","시청","시청","http://wis.seoul.go.kr/rest/file/thumbnail/4q3e2oj330fwbs3ni35om3jnk0pa072e/1","승강기 위치는 4번출구 쪽에 있습니다.      승강기를 이용하여 지하 1층 대합실로 내려가십시오.      우측 방향으로 이동하신 후      좌 우측 승강기를 이용하여 승강장으로 내려가십시오.","<img src='https://wis.eseoul.go.kr/images/disable/subway/20130228173134.jpg' alt='신촌 이미지' NAME='stationBigImg' ID='stationBigImg'/>","Y","<img src='http://wis.seoul.go.kr/images/disable/subway/20081021143830.jpg' alt='엘리베이터 이미지' /><img src='http://wis.seoul.go.kr/images/disable/subway/20081021143901.jpg' alt='화장실 이미지' />","||1@동교동 홍대방면 창서초등학교 기업은행 신촌지점||||2@연세대학교 한국사이버대학교(연세캠퍼스)||||3@연세대학교 한국사이버대학교(연세캠퍼스) 신촌연대앞헌혈의집||||4@창천동 이대방면 신촌치안센터||||5@이대방면 대흥동주민센터 창천초등학교 창천중학교||||6@서강대학교 근로복지공단 서울서부지사||||7@신촌삼익아파트 노고산 치안센터||||8@동교동로터리방면||","긴급전화(역무실) : 02-6110-2401","신촌 : 05시32분","신촌 : 23시36분","신촌 : 05시39분","신촌 : 23시29분"
